course_id,course_name,primary_skill,difficulty,estimated_hours,prerequisites
1,Python Basics,Python,1,6,
2,Advanced Python,Python,2,8,1
3,Statistics for Data Science,Statistics,2,7,
4,NumPy,Python,2,5,1
5,Pandas,Data Analysis,2,6,1
6,Data Visualization,Data Analysis,2,5,5
7,Machine Learning Basics,ML,3,10,"1,3"
8,Regression,ML,3,7,"3,7"
9,Classification,ML,3,8,7
10,Clustering,ML,3,8,7
11,Deep Learning Basics,DL,4,12,7
12,CNN,DL,4,10,11
13,RNN,DL,4,10,11
14,LSTM,DL,4,8,13
15,NLP Basics,NLP,3,8,"1,3"
16,Attention Mechanism,NLP,4,8,"7,15"
17,Transformers,Transformers,5,12,16
18,GPT,Transformers,5,14,17
19,Hugging Face,Transformers,4,8,17
20,AI Project,AI,5,20,"17,19"
