python_score,statistics_score,ml_score,dl_score,nlp_score,transformers_score,quiz_average,study_hours,average_attempts,course_difficulty,success
85,80,70,60,65,40,78,12,1,3,1
90,85,82,70,75,55,86,15,1,4,1
75,70,55,40,50,20,62,7,2,3,1
60,55,40,25,35,10,48,4,3,4,0
55,50,35,20,30,10,42,3,4,5,0
92,90,88,80,85,70,91,18,1,4,1
88,82,75,65,70,45,80,13,1,3,1
65,60,45,30,40,15,50,5,3,4,0
70,65,50,35,45,20,56,6,2,3,1
50,45,30,20,25,5,38,2,4,5,0
80,75,65,55,60,35,72,10,2,4,1
45,40,25,15,20,5,32,2,5,5,0
95,90,90,85,88,75,94,20,1,5,1
78,72,60,45,55,30,67,9,2,4,1
68,62,42,28,38,15,49,4,3,5,0
82,78,70,58,65,40,75,11,2,4,1
58,52,38,22,32,8,44,3,4,5,0
87,84,80,72,78,60,85,16,1,5,1
73,68,52,40,48,25,60,7,2,3,1
62,58,35,24,30,12,45,4,3,4,0
91,88,85,78,82,68,90,17,1,5,1
54,48,32,18,27,8,39,3,5,5,0
76,70,58,42,52,28,65,8,2,4,1
69,63,45,32,40,18,53,5,3,4,0
84,80,72,62,68,45,78,12,1,4,1
57,53,30,20,25,7,41,3,4,5,0
93,91,89,83,90,78,95,21,1,5,1
79,74,63,50,58,35,70,10,2,4,1
64,59,40,27,35,15,47,4,3,5,0
89,86,81,74,80,62,87,16,1,5,1
